"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","161.79","167.60","168.42","161.25","947.99K","-2.88%"
"May 11, 2020","166.58","165.07","168.75","163.97","2.35M","0.62%"
"May 08, 2020","165.55","163.00","165.79","160.15","1.77M","3.04%"
"May 07, 2020","160.66","154.99","162.00","154.95","2.16M","5.50%"
"May 06, 2020","152.28","153.23","154.92","150.90","1.29M","0.07%"
"May 05, 2020","152.18","149.36","152.65","148.89","2.23M","2.50%"
"May 04, 2020","148.47","145.01","149.41","145.00","1.52M","1.23%"
"May 01, 2020","146.66","150.44","150.99","145.56","1.69M","-4.70%"
"Apr 30, 2020","153.90","155.74","158.47","153.01","2.25M","-0.56%"
"Apr 29, 2020","154.77","148.44","156.88","147.55","2.03M","6.69%"
"Apr 28, 2020","145.07","150.00","150.69","144.63","1.32M","-2.05%"
"Apr 27, 2020","148.10","146.99","148.57","144.55","1.27M","2.17%"
"Apr 24, 2020","144.96","140.81","145.73","140.50","2.07M","0.95%"
"Apr 23, 2020","143.60","146.47","147.65","142.93","1.28M","-1.52%"
"Apr 22, 2020","145.82","143.90","146.81","141.32","1.23M","4.05%"
"Apr 21, 2020","140.15","147.99","149.25","137.69","3.45M","-7.12%"
"Apr 20, 2020","150.90","147.85","153.60","147.24","1.30M","1.07%"
"Apr 17, 2020","149.30","146.21","150.17","146.00","2.99M","4.71%"
"Apr 16, 2020","142.58","145.85","146.75","141.86","2.26M","-2.39%"
"Apr 15, 2020","146.07","144.58","147.78","144.41","3.05M","-2.26%"
"Apr 14, 2020","149.45","148.70","151.30","146.04","2.47M","5.86%"
"Apr 13, 2020","141.18","144.77","144.88","138.73","2.20M","-2.91%"
"Apr 09, 2020","145.41","145.45","148.78","143.03","2.96M","2.32%"
"Apr 08, 2020","142.11","133.73","146.10","132.27","4.65M","7.82%"
"Apr 07, 2020","131.80","138.72","140.59","131.56","3.44M","1.14%"
"Apr 06, 2020","130.31","120.64","130.65","119.14","2.83M","12.26%"
"Apr 03, 2020","116.08","121.43","122.81","115.53","3.12M","-5.14%"
"Apr 02, 2020","122.37","124.39","127.49","119.61","3.03M","-3.10%"
"Apr 01, 2020","126.28","123.70","126.37","121.07","5.07M","-3.03%"
"Mar 31, 2020","130.22","135.21","136.23","128.20","3.85M","-5.16%"
"Mar 30, 2020","137.30","136.80","141.87","136.35","2.12M","0.80%"
"Mar 27, 2020","136.21","141.06","141.34","135.18","2.03M","-6.24%"
"Mar 26, 2020","145.28","138.00","146.67","137.32","2.84M","7.04%"
"Mar 25, 2020","135.73","135.19","142.13","132.49","3.34M","2.52%"
"Mar 24, 2020","132.39","133.94","136.94","129.01","4.52M","4.12%"
"Mar 23, 2020","127.15","125.66","131.58","123.00","4.10M","1.72%"
"Mar 20, 2020","125.00","129.83","138.71","124.63","6.11M","-1.37%"
"Mar 19, 2020","126.74","114.61","129.32","109.22","3.91M","11.30%"
"Mar 18, 2020","113.87","115.34","120.00","107.86","4.46M","-8.18%"
"Mar 17, 2020","124.02","121.34","126.87","113.08","4.82M","3.19%"
"Mar 16, 2020","120.19","124.20","130.72","116.14","4.70M","-12.75%"
"Mar 13, 2020","137.76","137.17","140.24","125.04","3.80M","4.93%"
"Mar 12, 2020","131.29","131.79","138.37","128.63","3.99M","-7.56%"
"Mar 11, 2020","142.03","145.68","149.35","139.32","2.05M","-5.51%"
"Mar 10, 2020","150.31","148.62","150.32","143.60","2.80M","5.13%"
"Mar 09, 2020","142.97","148.75","151.50","142.80","3.33M","-9.90%"
"Mar 06, 2020","158.68","161.36","161.36","153.39","2.79M","-4.01%"
"Mar 05, 2020","165.31","166.64","169.19","163.02","1.81M","-3.27%"
"Mar 04, 2020","170.89","169.70","171.16","166.42","1.57M","2.60%"
"Mar 03, 2020","166.56","172.49","172.82","162.90","3.38M","-3.66%"
"Mar 02, 2020","172.89","174.85","176.37","167.69","3.48M","-0.21%"
"Feb 28, 2020","173.25","170.45","173.80","164.70","4.28M","1.20%"
"Feb 27, 2020","171.20","168.98","176.50","166.81","3.57M","-2.37%"
"Feb 26, 2020","175.36","177.20","180.70","174.52","1.67M","-0.06%"
"Feb 25, 2020","175.47","179.49","180.72","174.22","2.08M","-0.92%"
"Feb 24, 2020","177.10","175.00","179.85","173.88","2.82M","-3.68%"
"Feb 21, 2020","183.86","190.00","191.31","182.76","2.87M","-3.52%"
"Feb 20, 2020","190.56","196.00","196.26","187.51","3.22M","-3.55%"
"Feb 19, 2020","197.58","200.40","202.00","197.44","1.94M","-0.90%"
"Feb 18, 2020","199.38","196.88","199.90","195.33","1.96M","1.21%"
"Feb 14, 2020","196.99","196.87","198.96","194.86","1.24M","1.19%"
"Feb 13, 2020","194.67","194.50","196.50","194.23","937.53K","0.14%"
"Feb 12, 2020","194.40","194.26","195.08","191.29","1.45M","0.69%"
"Feb 11, 2020","193.07","196.00","196.64","192.02","958.73K","-0.92%"
"Feb 10, 2020","194.86","191.92","195.60","190.91","983.19K","1.45%"
"Feb 07, 2020","192.08","190.07","193.78","188.01","1.96M","2.44%"
"Feb 06, 2020","187.50","187.09","190.33","184.32","1.38M","-0.51%"
"Feb 05, 2020","188.47","197.00","197.87","187.70","1.84M","-3.20%"
"Feb 04, 2020","194.70","190.00","195.99","188.87","1.83M","3.25%"
"Feb 03, 2020","188.57","185.60","189.28","184.29","1.61M","2.13%"
"Jan 31, 2020","184.63","187.87","188.51","183.29","1.09M","-1.87%"
"Jan 30, 2020","188.15","183.50","189.35","183.01","1.35M","2.47%"
"Jan 29, 2020","183.61","187.54","187.90","183.48","1.31M","-1.64%"
"Jan 28, 2020","186.68","184.62","187.33","184.62","1.30M","1.48%"
"Jan 27, 2020","183.96","182.00","184.92","181.21","1.23M","-1.13%"
"Jan 24, 2020","186.07","185.00","188.30","184.52","1.96M","0.92%"
