"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","68.98","75.00","75.05","68.98","2.30M","-6.70%"
"May 11, 2020","73.93","72.57","75.10","72.57","2.73M","-1.06%"
"May 08, 2020","74.72","72.02","74.88","71.75","3.00M","5.94%"
"May 07, 2020","70.53","69.24","72.05","68.76","2.30M","3.40%"
"May 06, 2020","68.21","70.01","71.22","68.21","2.55M","-1.13%"
"May 05, 2020","68.99","72.27","72.59","68.63","2.52M","-2.31%"
"May 04, 2020","70.62","67.33","70.66","66.16","2.04M","1.10%"
"May 01, 2020","69.85","70.40","72.31","68.08","3.47M","-5.34%"
"Apr 30, 2020","73.79","76.40","77.44","72.82","3.30M","-5.65%"
"Apr 29, 2020","78.21","79.23","81.11","77.00","3.91M","4.56%"
"Apr 28, 2020","74.80","76.21","77.09","71.25","4.12M","3.31%"
"Apr 27, 2020","72.40","70.16","72.60","68.75","3.28M","5.20%"
"Apr 24, 2020","68.82","67.69","69.30","65.75","3.51M","2.92%"
"Apr 23, 2020","66.87","69.39","69.39","66.30","4.06M","-2.09%"
"Apr 22, 2020","68.30","65.23","69.46","65.23","6.67M","7.86%"
"Apr 21, 2020","63.32","62.50","63.73","61.34","7.07M","2.48%"
"Apr 20, 2020","61.79","61.49","64.52","61.49","2.40M","-2.46%"
"Apr 17, 2020","63.35","63.87","65.34","60.50","4.04M","9.26%"
"Apr 16, 2020","57.98","58.68","59.94","56.58","3.00M","-1.38%"
"Apr 15, 2020","58.79","57.79","59.63","57.07","3.74M","-3.86%"
"Apr 14, 2020","61.15","63.32","64.70","60.73","3.11M","0.43%"
"Apr 13, 2020","60.89","65.00","65.00","59.91","2.19M","-5.36%"
"Apr 09, 2020","64.34","68.00","69.01","62.23","4.87M","1.21%"
"Apr 08, 2020","63.57","62.47","65.31","59.57","4.06M","7.82%"
"Apr 07, 2020","58.96","59.68","62.97","56.70","6.53M","12.52%"
"Apr 06, 2020","52.40","49.60","55.86","49.23","4.86M","15.22%"
"Apr 03, 2020","45.48","44.51","46.39","43.25","3.64M","2.64%"
"Apr 02, 2020","44.31","46.00","49.52","43.16","4.71M","-3.72%"
"Apr 01, 2020","46.02","50.31","50.94","45.02","6.60M","-15.50%"
"Mar 31, 2020","54.46","57.27","58.94","53.16","6.17M","-4.20%"
"Mar 30, 2020","56.85","53.04","57.84","51.02","4.06M","4.01%"
"Mar 27, 2020","54.66","56.45","57.41","52.57","6.02M","-9.74%"
"Mar 26, 2020","60.56","58.36","62.44","56.35","4.74M","3.61%"
"Mar 25, 2020","58.45","56.41","67.68","54.04","7.95M","8.46%"
"Mar 24, 2020","53.89","46.74","55.19","46.16","8.71M","31.34%"
"Mar 23, 2020","41.03","39.88","42.24","37.15","7.80M","5.21%"
"Mar 20, 2020","39.00","45.50","45.82","37.06","8.88M","-8.06%"
"Mar 19, 2020","42.42","33.05","46.50","30.51","10.99M","24.18%"
"Mar 18, 2020","34.16","37.17","39.01","26.18","8.83M","-18.53%"
"Mar 17, 2020","41.93","49.90","50.16","35.94","9.91M","-14.79%"
"Mar 16, 2020","49.21","58.24","58.36","46.17","4.49M","-24.66%"
"Mar 13, 2020","65.32","63.96","65.40","59.29","4.06M","10.39%"
"Mar 12, 2020","59.17","62.97","67.35","57.27","4.08M","-15.72%"
"Mar 11, 2020","70.21","79.05","79.29","69.70","3.77M","-15.00%"
"Mar 10, 2020","82.60","80.86","82.69","76.36","2.30M","6.68%"
"Mar 09, 2020","77.43","82.07","82.63","77.23","2.49M","-12.16%"
"Mar 06, 2020","88.15","84.47","90.51","83.79","2.45M","0.23%"
"Mar 05, 2020","87.95","94.41","94.41","87.38","2.70M","-7.48%"
"Mar 04, 2020","95.06","96.55","96.94","93.43","1.79M","-0.26%"
"Mar 03, 2020","95.31","98.47","100.40","94.46","1.69M","-3.53%"
"Mar 02, 2020","98.80","97.75","98.87","95.56","2.41M","1.33%"
"Feb 28, 2020","97.50","96.52","100.76","94.23","2.59M","-1.87%"
"Feb 27, 2020","99.36","104.25","104.51","99.30","3.10M","-7.20%"
"Feb 26, 2020","107.07","111.90","112.51","107.04","2.09M","-4.19%"
"Feb 25, 2020","111.75","118.44","118.44","111.66","1.48M","-5.21%"
"Feb 24, 2020","117.89","119.09","119.77","117.34","1.18M","-2.65%"
"Feb 21, 2020","121.10","119.98","121.39","119.96","1.37M","0.35%"
"Feb 20, 2020","120.68","120.40","121.00","119.42","757.40K","0.00%"
"Feb 19, 2020","120.68","120.81","121.22","119.96","905.26K","0.16%"
"Feb 18, 2020","120.49","121.16","121.41","119.01","1.06M","-1.00%"
"Feb 14, 2020","121.71","122.48","122.63","121.33","737.09K","-0.46%"
"Feb 13, 2020","122.27","122.12","122.43","121.27","1.08M","-0.15%"
"Feb 12, 2020","122.45","122.65","124.01","122.24","1.15M","0.18%"
"Feb 11, 2020","122.23","121.89","122.42","120.67","1.57M","0.36%"
"Feb 10, 2020","121.79","120.62","121.97","120.24","979.77K","0.89%"
"Feb 07, 2020","120.71","121.50","121.95","120.21","1.56M","-0.65%"
"Feb 06, 2020","121.50","117.98","121.80","117.86","2.09M","3.42%"
