"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","667.33","669.63","675.88","661.00","1.24M","-1.57%"
"May 11, 2020","678.00","672.47","686.89","670.45","557.66K","-0.02%"
"May 08, 2020","678.16","679.89","686.99","671.35","439.42K","0.42%"
"May 07, 2020","675.34","670.26","678.89","658.00","663.17K","-1.29%"
"May 06, 2020","684.19","680.41","701.15","680.25","387.35K","-0.32%"
"May 05, 2020","686.39","685.02","692.60","674.11","321.58K","1.54%"
"May 04, 2020","675.97","664.51","677.00","660.92","515.17K","0.76%"
"May 01, 2020","670.85","670.34","680.89","665.24","346.72K","-0.64%"
"Apr 30, 2020","675.20","675.64","686.56","663.77","751.37K","-0.61%"
"Apr 29, 2020","679.32","685.50","688.80","672.09","601.26K","-0.65%"
"Apr 28, 2020","683.76","713.61","715.75","682.29","372.81K","-2.60%"
"Apr 27, 2020","702.00","691.87","707.02","685.24","347.93K","2.47%"
"Apr 24, 2020","685.10","685.49","689.55","672.91","459.83K","-0.06%"
"Apr 23, 2020","685.49","689.08","698.99","681.61","382.45K","0.10%"
"Apr 22, 2020","684.79","684.23","698.18","674.21","433.98K","1.87%"
"Apr 21, 2020","672.20","667.49","679.48","655.10","420.73K","0.22%"
"Apr 20, 2020","670.75","685.84","685.84","666.22","519.47K","-3.48%"
"Apr 17, 2020","694.95","687.13","696.79","670.50","502.61K","1.79%"
"Apr 16, 2020","682.74","679.16","687.27","671.26","521.67K","1.07%"
"Apr 15, 2020","675.53","668.69","682.11","668.69","361.10K","-1.94%"
"Apr 14, 2020","688.89","675.20","695.85","672.58","549.79K","4.82%"
"Apr 13, 2020","657.19","680.00","680.00","646.37","540.96K","-4.33%"
"Apr 09, 2020","686.94","667.17","690.69","666.82","904.33K","3.41%"
"Apr 08, 2020","664.26","629.50","668.67","621.55","533.94K","6.52%"
"Apr 07, 2020","623.62","675.75","678.69","621.72","621.30K","-4.39%"
"Apr 06, 2020","652.22","639.05","654.57","631.83","698.84K","4.41%"
"Apr 03, 2020","624.69","623.21","636.21","606.79","557.17K","-0.23%"
"Apr 02, 2020","626.15","591.29","628.85","591.29","801.51K","5.15%"
"Apr 01, 2020","595.46","604.87","612.07","582.10","714.77K","-4.66%"
"Mar 31, 2020","624.57","641.24","641.24","611.06","1.14M","-3.15%"
"Mar 30, 2020","644.87","605.99","649.00","594.02","778.58K","8.51%"
"Mar 27, 2020","594.27","572.36","603.88","564.42","616.18K","1.14%"
"Mar 26, 2020","587.58","555.00","601.92","551.71","754.68K","6.08%"
"Mar 25, 2020","553.92","541.49","593.29","535.37","723.83K","1.47%"
"Mar 24, 2020","545.89","511.39","552.20","497.69","914.34K","11.60%"
"Mar 23, 2020","489.14","505.04","506.00","477.87","882.14K","-3.43%"
"Mar 20, 2020","506.52","549.75","559.98","493.20","1.23M","-7.91%"
"Mar 19, 2020","550.00","573.69","579.00","539.56","985.20K","-3.87%"
"Mar 18, 2020","572.14","534.44","582.94","534.44","1.03M","-0.53%"
"Mar 17, 2020","575.18","558.62","598.23","554.72","1.22M","6.04%"
"Mar 16, 2020","542.43","582.59","586.28","530.00","1.02M","-12.66%"
"Mar 13, 2020","621.09","585.29","623.84","566.74","1.08M","9.90%"
"Mar 12, 2020","565.13","556.91","595.00","546.15","1.00M","-5.62%"
"Mar 11, 2020","598.80","591.64","604.98","584.89","897.89K","-1.88%"
"Mar 10, 2020","610.28","600.00","615.04","571.05","706.41K","6.31%"
"Mar 09, 2020","574.06","571.00","601.94","570.13","724.46K","-5.69%"
"Mar 06, 2020","608.67","599.59","609.99","582.52","826.25K","-1.30%"
"Mar 05, 2020","616.67","629.02","641.83","611.05","578.08K","-4.46%"
"Mar 04, 2020","645.49","626.00","646.52","621.92","586.43K","4.93%"
"Mar 03, 2020","615.16","621.72","634.04","600.00","678.77K","-0.60%"
"Mar 02, 2020","618.88","577.88","620.28","577.26","757.10K","8.04%"
"Feb 28, 2020","572.80","586.53","589.96","563.55","1.13M","-4.13%"
"Feb 27, 2020","597.49","623.92","630.73","597.26","718.18K","-5.14%"
"Feb 26, 2020","629.84","634.55","637.83","624.88","414.56K","-0.34%"
"Feb 25, 2020","631.98","643.05","645.91","627.50","677.68K","-2.00%"
"Feb 24, 2020","644.90","648.18","654.44","637.69","543.22K","-1.69%"
"Feb 21, 2020","655.99","651.96","657.00","644.10","604.91K","1.17%"
"Feb 20, 2020","648.39","644.00","648.52","639.30","353.60K","0.73%"
"Feb 19, 2020","643.72","648.19","650.11","641.40","405.01K","0.02%"
"Feb 18, 2020","643.59","644.17","649.99","639.35","427.94K","-0.78%"
"Feb 14, 2020","648.65","639.09","654.32","637.19","438.57K","2.03%"
"Feb 13, 2020","635.75","615.10","636.43","611.99","508.31K","2.02%"
"Feb 12, 2020","623.14","616.23","624.58","612.33","566.39K","1.56%"
"Feb 11, 2020","613.57","613.10","619.75","611.01","345.01K","0.25%"
"Feb 10, 2020","612.03","609.19","613.74","607.07","270.31K","1.00%"
"Feb 07, 2020","606.00","605.14","607.55","602.13","186.88K","0.38%"
"Feb 06, 2020","603.73","606.26","607.83","594.56","215.03K","0.41%"
"Feb 05, 2020","601.26","608.49","609.22","600.00","327.51K","-1.08%"
"Feb 04, 2020","607.85","608.09","609.47","605.26","325.95K","0.70%"
"Feb 03, 2020","603.60","592.56","606.14","591.05","445.66K","2.35%"
"Jan 31, 2020","589.73","604.07","605.27","587.36","488.70K","-2.20%"
"Jan 30, 2020","603.00","602.70","608.11","602.70","348.43K","0.05%"
"Jan 29, 2020","602.68","600.06","604.25","596.79","243.16K","0.02%"
"Jan 28, 2020","602.57","595.99","604.67","595.39","318.13K","1.45%"
"Jan 27, 2020","593.95","589.91","594.96","585.61","233.16K","0.34%"
"Jan 24, 2020","591.96","597.37","603.35","590.04","328.99K","-0.68%"
"Jan 23, 2020","596.01","594.49","603.70","592.56","352.25K","0.73%"
