"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","120.18","120.96","122.95","120.17","3.90M","0.00%"
"May 11, 2020","120.18","116.70","120.73","116.03","6.00M","3.76%"
"May 08, 2020","115.83","114.71","116.83","114.12","4.27M","2.18%"
"May 07, 2020","113.36","114.74","115.17","113.11","3.69M","-0.19%"
"May 06, 2020","113.58","112.95","115.62","112.64","4.91M","1.63%"
"May 05, 2020","111.76","111.46","113.36","110.60","4.20M","0.04%"
"May 04, 2020","111.71","108.19","112.02","107.66","4.58M","3.22%"
"May 01, 2020","108.23","108.85","109.48","106.10","4.59M","-1.38%"
"Apr 30, 2020","109.74","110.85","111.04","108.89","4.77M","-2.11%"
"Apr 29, 2020","112.10","113.41","114.03","110.16","4.93M","0.09%"
"Apr 28, 2020","112.00","111.53","113.87","110.19","4.90M","1.93%"
"Apr 27, 2020","109.88","108.60","111.19","108.60","4.34M","1.91%"
"Apr 24, 2020","107.82","104.50","108.45","103.86","6.09M","3.81%"
"Apr 23, 2020","103.86","100.71","105.47","100.71","16.51M","-2.79%"
"Apr 22, 2020","106.84","108.11","108.32","106.42","2.96M","-0.06%"
"Apr 21, 2020","106.90","108.12","108.12","105.91","4.52M","-1.91%"
"Apr 20, 2020","108.98","112.48","112.48","108.72","5.33M","-3.91%"
"Apr 17, 2020","113.42","110.56","113.99","108.44","7.62M","3.77%"
"Apr 16, 2020","109.30","106.80","109.87","106.80","5.95M","2.88%"
"Apr 15, 2020","106.24","108.99","108.99","105.27","4.23M","-1.97%"
"Apr 14, 2020","108.38","107.71","109.82","105.88","5.03M","3.53%"
"Apr 13, 2020","104.68","104.11","105.35","102.97","3.24M","0.46%"
"Apr 09, 2020","104.20","102.09","104.81","101.54","7.07M","-0.41%"
"Apr 08, 2020","104.63","100.12","105.68","100.12","7.54M","6.48%"
"Apr 07, 2020","98.26","98.57","101.61","97.11","6.60M","0.77%"
"Apr 06, 2020","97.51","93.22","97.76","92.16","7.11M","5.34%"
"Apr 03, 2020","92.57","93.32","94.13","90.19","6.82M","-1.90%"
"Apr 02, 2020","94.36","94.19","95.62","92.17","5.93M","-0.96%"
"Apr 01, 2020","95.27","91.50","96.10","91.37","8.58M","2.47%"
"Mar 31, 2020","92.97","95.71","96.70","92.17","6.39M","-3.17%"
"Mar 30, 2020","96.01","96.18","97.77","95.50","4.49M","1.34%"
"Mar 27, 2020","94.74","94.01","97.83","92.94","4.90M","-1.38%"
"Mar 26, 2020","96.07","91.26","96.33","91.26","7.02M","5.53%"
"Mar 25, 2020","91.04","98.64","98.89","90.53","12.56M","-9.47%"
"Mar 24, 2020","100.56","99.98","101.64","96.10","6.50M","4.00%"
"Mar 23, 2020","96.69","96.55","99.20","93.81","7.10M","-0.73%"
"Mar 20, 2020","97.40","99.30","102.48","96.38","8.06M","-3.08%"
"Mar 19, 2020","100.50","102.72","107.12","99.87","7.41M","-2.26%"
"Mar 18, 2020","102.82","97.50","108.33","96.90","8.85M","-0.78%"
"Mar 17, 2020","103.63","95.12","106.49","95.06","10.59M","10.49%"
"Mar 16, 2020","93.79","92.59","99.94","91.16","6.96M","-7.16%"
"Mar 13, 2020","101.02","96.65","105.14","92.53","9.27M","9.07%"
"Mar 12, 2020","92.62","99.24","101.53","92.41","10.21M","-12.28%"
"Mar 11, 2020","105.58","106.03","107.98","103.42","6.10M","-2.54%"
"Mar 10, 2020","108.33","106.24","109.59","104.80","7.46M","4.13%"
"Mar 09, 2020","104.03","99.76","107.68","99.76","7.35M","-1.81%"
"Mar 06, 2020","105.95","104.16","106.43","102.75","5.37M","-0.02%"
"Mar 05, 2020","105.97","105.64","108.44","105.25","5.29M","-1.72%"
"Mar 04, 2020","107.82","107.00","108.07","104.67","6.83M","1.87%"
"Mar 03, 2020","105.84","112.00","112.20","103.96","10.93M","-2.95%"
"Mar 02, 2020","109.06","103.38","109.44","102.95","9.69M","5.88%"
"Feb 28, 2020","103.00","102.21","104.20","100.74","9.22M","-2.48%"
"Feb 27, 2020","105.62","108.38","109.38","105.54","6.71M","-4.55%"
"Feb 26, 2020","110.66","112.18","112.70","110.29","4.32M","-0.95%"
"Feb 25, 2020","111.72","114.19","115.15","111.63","5.10M","-1.81%"
"Feb 24, 2020","113.78","114.48","115.99","113.12","5.31M","-2.76%"
"Feb 21, 2020","117.01","117.83","118.88","116.80","3.86M","-1.06%"
"Feb 20, 2020","118.26","116.97","118.29","116.57","2.66M","0.74%"
"Feb 19, 2020","117.39","117.69","118.13","117.05","2.87M","-0.37%"
"Feb 18, 2020","117.83","116.95","117.87","116.35","3.12M","1.03%"
"Feb 14, 2020","116.63","118.30","118.46","116.30","3.29M","-1.39%"
"Feb 13, 2020","118.28","117.84","118.50","117.42","2.65M","0.14%"
"Feb 12, 2020","118.11","116.66","118.75","116.47","3.76M","1.22%"
"Feb 11, 2020","116.69","117.07","117.14","115.12","3.07M","-0.25%"
"Feb 10, 2020","116.98","115.60","117.24","115.60","3.86M","1.19%"
"Feb 07, 2020","115.61","115.02","115.64","114.46","2.97M","0.41%"
"Feb 06, 2020","115.14","115.99","116.38","114.76","4.02M","-0.34%"
"Feb 05, 2020","115.53","114.01","115.90","113.85","3.64M","2.01%"
"Feb 04, 2020","113.25","113.64","114.80","113.20","3.63M","0.66%"
"Feb 03, 2020","112.51","111.14","113.41","111.00","5.19M","1.60%"
"Jan 31, 2020","110.74","113.41","113.79","110.37","6.96M","-3.43%"
"Jan 30, 2020","114.67","113.77","114.71","112.89","4.47M","0.35%"
"Jan 29, 2020","114.27","115.78","116.08","114.25","5.25M","-1.01%"
"Jan 28, 2020","115.44","116.15","116.46","115.43","3.87M","-0.29%"
"Jan 27, 2020","115.78","112.95","116.21","112.57","6.78M","1.28%"
"Jan 24, 2020","114.32","116.00","116.00","113.64","4.34M","-1.05%"
"Jan 23, 2020","115.53","113.53","115.57","113.10","4.64M","1.43%"
"Jan 22, 2020","113.90","114.14","115.08","113.77","5.07M","-0.12%"
"Jan 21, 2020","114.04","116.66","116.66","113.82","8.19M","-2.46%"
"Jan 17, 2020","116.92","116.49","117.79","116.17","7.30M","0.52%"
"Jan 16, 2020","116.32","117.14","117.32","115.83","9.36M","-0.58%"
"Jan 15, 2020","117.00","117.49","119.40","115.56","26.74M","-6.59%"
"Jan 14, 2020","125.26","123.60","125.66","123.44","3.29M","1.12%"
"Jan 13, 2020","123.87","124.59","124.68","122.93","3.63M","-0.69%"
"Jan 10, 2020","124.73","124.71","125.70","124.05","4.68M","1.00%"
"Jan 09, 2020","123.50","123.50","124.91","122.66","5.37M","0.08%"
"Jan 08, 2020","123.40","124.05","125.25","123.34","5.73M","-0.32%"
"Jan 07, 2020","123.80","123.00","124.43","123.00","3.67M","0.18%"
"Jan 06, 2020","123.58","123.97","124.65","123.22","4.23M","-0.95%"
"Jan 03, 2020","124.76","124.66","125.53","123.93","5.02M","-1.04%"
"Jan 02, 2020","126.07","128.74","128.90","125.26","5.15M","-1.67%"
"Dec 31, 2019","128.21","128.40","128.97","127.37","4.06M","-0.53%"
"Dec 30, 2019","128.89","129.00","129.95","128.41","2.55M","-0.25%"
"Dec 27, 2019","129.21","129.00","129.23","128.23","2.24M","0.25%"
"Dec 26, 2019","128.89","129.13","129.40","127.93","2.20M","0.26%"
"Dec 24, 2019","128.55","128.90","128.90","127.95","1.64M","0.16%"
"Dec 23, 2019","128.34","129.47","129.54","128.01","4.05M","-0.63%"
"Dec 20, 2019","129.15","129.45","130.24","128.50","6.22M","0.35%"
"Dec 19, 2019","128.70","127.72","128.98","127.37","3.29M","0.48%"
"Dec 18, 2019","128.08","128.51","129.08","127.75","3.94M","-0.23%"
"Dec 17, 2019","128.38","126.47","128.91","126.00","5.62M","1.92%"
"Dec 16, 2019","125.96","127.79","128.00","125.96","4.49M","-0.99%"
"Dec 13, 2019","127.22","126.72","127.43","126.17","2.97M","-0.24%"
"Dec 12, 2019","127.52","125.66","127.86","125.13","3.68M","1.37%"
"Dec 11, 2019","125.80","125.40","125.89","124.73","2.82M","0.02%"
