"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","315.56","317.82","319.68","315.07","30.24M","0.17%"
"May 11, 2020","315.01","308.10","317.00","307.24","36.49M","1.57%"
"May 08, 2020","310.13","305.64","310.35","304.29","33.51M","2.10%"
"May 07, 2020","303.74","303.16","305.16","302.06","28.80M","1.03%"
"May 06, 2020","300.63","300.37","303.21","298.87","35.58M","1.03%"
"May 05, 2020","297.56","295.06","301.00","294.52","36.94M","1.50%"
"May 04, 2020","293.16","288.90","293.64","286.41","33.39M","1.41%"
"May 01, 2020","289.07","286.16","298.96","286.16","60.15M","-1.61%"
"Apr 30, 2020","293.80","289.96","294.47","288.37","45.77M","2.11%"
"Apr 29, 2020","287.73","284.52","289.63","284.13","34.32M","3.28%"
"Apr 28, 2020","278.58","285.18","285.81","278.35","28.00M","-1.62%"
"Apr 27, 2020","283.17","281.94","284.49","279.96","29.27M","0.07%"
"Apr 24, 2020","282.97","277.20","283.01","277.00","31.63M","2.89%"
"Apr 23, 2020","275.03","275.76","281.75","275.00","31.20M","-0.39%"
"Apr 22, 2020","276.10","273.87","277.63","272.23","29.26M","2.88%"
"Apr 21, 2020","268.37","276.01","277.10","265.46","45.25M","-3.09%"
"Apr 20, 2020","276.93","277.70","281.63","276.93","32.50M","-2.08%"
"Apr 17, 2020","282.80","285.10","286.88","276.90","53.81M","-1.36%"
"Apr 16, 2020","286.69","287.52","288.13","282.37","39.28M","0.79%"
"Apr 15, 2020","284.43","282.33","286.29","280.65","32.79M","-0.91%"
"Apr 14, 2020","287.05","280.11","288.00","278.34","48.75M","5.05%"
"Apr 13, 2020","273.25","268.27","273.44","265.88","32.76M","1.96%"
"Apr 09, 2020","267.99","269.32","270.02","264.76","40.53M","0.72%"
"Apr 08, 2020","266.07","263.29","267.32","261.27","42.22M","2.56%"
"Apr 07, 2020","259.43","270.80","271.08","259.02","50.72M","-1.16%"
"Apr 06, 2020","262.47","251.31","263.04","249.47","50.46M","8.72%"
"Apr 03, 2020","241.41","242.62","245.68","238.98","32.47M","-1.44%"
"Apr 02, 2020","244.93","240.20","245.00","236.94","41.48M","1.67%"
"Apr 01, 2020","240.91","246.21","248.65","239.14","44.05M","-5.26%"
"Mar 31, 2020","254.29","255.48","262.48","252.03","49.25M","-0.20%"
"Mar 30, 2020","254.81","250.74","255.52","249.40","41.99M","2.85%"
"Mar 27, 2020","247.74","252.14","255.85","247.21","51.05M","-4.14%"
"Mar 26, 2020","258.44","246.70","258.44","246.50","63.14M","5.26%"
"Mar 25, 2020","245.52","250.80","257.94","244.33","75.90M","-0.55%"
"Mar 24, 2020","246.88","237.00","246.88","234.42","71.88M","10.03%"
"Mar 23, 2020","224.37","228.08","228.50","212.61","84.19M","-2.12%"
"Mar 20, 2020","229.24","247.18","251.83","228.00","100.42M","-6.35%"
"Mar 19, 2020","244.78","247.02","252.59","242.66","67.96M","-0.77%"
"Mar 18, 2020","246.67","240.19","249.91","237.12","75.06M","-2.45%"
"Mar 17, 2020","252.86","247.51","257.61","238.40","81.01M","4.40%"
"Mar 16, 2020","242.21","241.95","259.08","240.00","80.61M","-12.86%"
"Mar 13, 2020","277.97","264.89","279.92","252.95","92.68M","11.98%"
"Mar 12, 2020","248.23","255.94","270.00","248.00","104.62M","-9.88%"
"Mar 11, 2020","275.43","277.39","281.22","271.86","64.09M","-3.47%"
"Mar 10, 2020","285.34","277.14","286.44","269.37","71.32M","7.20%"
"Mar 09, 2020","266.17","263.75","278.09","263.00","71.69M","-7.91%"
"Mar 06, 2020","289.03","282.00","290.82","281.23","56.54M","-1.33%"
"Mar 05, 2020","292.92","295.52","299.55","291.41","46.89M","-3.24%"
"Mar 04, 2020","302.74","296.44","303.40","293.13","54.79M","4.64%"
"Mar 03, 2020","289.32","303.67","304.00","285.80","79.87M","-3.18%"
"Mar 02, 2020","298.81","282.28","301.44","277.72","85.35M","9.31%"
"Feb 28, 2020","273.36","257.26","278.41","256.37","106.72M","-0.06%"
"Feb 27, 2020","273.52","281.10","286.00","272.96","80.15M","-6.54%"
"Feb 26, 2020","292.65","286.53","297.88","286.50","49.68M","1.59%"
"Feb 25, 2020","288.08","300.95","302.53","286.13","57.67M","-3.39%"
"Feb 24, 2020","298.18","297.26","304.18","289.23","55.55M","-4.75%"
"Feb 21, 2020","313.05","318.62","320.45","310.50","32.43M","-2.26%"
"Feb 20, 2020","320.30","322.63","324.65","318.21","25.14M","-1.03%"
"Feb 19, 2020","323.62","320.00","324.57","320.00","23.50M","1.45%"
"Feb 18, 2020","319.00","315.36","319.75","314.61","38.19M","-1.83%"
"Feb 14, 2020","324.95","324.74","325.98","322.85","20.03M","0.02%"
"Feb 13, 2020","324.87","324.19","326.22","323.35","23.69M","-0.71%"
"Feb 12, 2020","327.20","321.47","327.22","321.47","28.43M","2.37%"
"Feb 11, 2020","319.61","323.60","323.90","318.71","23.58M","-0.60%"
"Feb 10, 2020","321.55","314.18","321.55","313.85","27.34M","0.47%"
"Feb 07, 2020","320.03","322.37","323.40","318.00","29.42M","-1.59%"
"Feb 06, 2020","325.21","322.57","325.22","320.26","26.36M","1.17%"
"Feb 05, 2020","321.45","323.52","324.76","318.95","29.71M","0.82%"
"Feb 04, 2020","318.85","315.31","319.64","313.63","34.15M","3.30%"
"Feb 03, 2020","308.66","304.30","313.49","302.22","43.50M","-0.27%"
"Jan 31, 2020","309.51","320.93","322.68","308.29","49.90M","-4.43%"
"Jan 30, 2020","323.87","320.54","324.09","318.75","31.69M","-0.14%"
"Jan 29, 2020","324.34","324.45","327.85","321.38","54.15M","2.09%"
