"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 03, 2020","2,209.50","2,152.00","2,220.00","2,152.00","3.51K","2.71%"
"Apr 01, 2020","2,151.25","2,189.00","2,286.05","2,070.00","15.62K","0.52%"
"Mar 31, 2020","2,140.15","2,098.00","2,223.00","2,060.00","5.60K","6.15%"
"Mar 30, 2020","2,016.10","2,109.10","2,162.00","1,973.60","5.50K","-7.93%"
"Mar 27, 2020","2,189.65","2,220.00","2,389.00","2,130.00","11.66K","-0.95%"
"Mar 26, 2020","2,210.65","1,900.00","2,239.95","1,900.00","10.70K","16.30%"
"Mar 25, 2020","1,900.80","1,811.10","1,948.50","1,811.05","14.37K","1.79%"
"Mar 24, 2020","1,867.30","2,012.00","2,148.95","1,822.20","9.49K","-6.58%"
"Mar 23, 2020","1,998.75","2,275.00","2,390.00","1,960.00","7.85K","-18.18%"
"Mar 20, 2020","2,442.85","2,210.00","2,530.00","2,181.10","10.28K","10.22%"
"Mar 19, 2020","2,216.35","2,236.00","2,330.00","2,100.05","10.61K","-7.09%"
"Mar 18, 2020","2,385.55","2,569.75","2,954.90","2,190.00","8.59K","-7.16%"
"Mar 17, 2020","2,569.50","2,544.00","2,642.15","2,416.05","19.64K","-0.04%"
"Mar 16, 2020","2,570.50","2,807.00","2,807.00","2,500.00","11.11K","-11.01%"
"Mar 13, 2020","2,888.65","2,655.00","3,484.40","2,511.00","13.97K","-2.42%"
"Mar 12, 2020","2,960.40","2,801.10","3,096.00","2,510.00","42.55K","-0.01%"
"Mar 11, 2020","2,960.55","2,999.00","3,052.95","2,858.70","5.99K","-1.19%"
"Mar 09, 2020","2,996.20","3,065.15","3,148.95","2,856.40","10.92K","-5.18%"
"Mar 06, 2020","3,159.85","3,029.00","3,219.00","3,029.00","10.56K","-1.85%"
"Mar 05, 2020","3,219.25","3,170.00","3,339.00","3,166.10","24.07K","5.71%"
"Mar 04, 2020","3,045.30","3,000.00","3,437.90","2,826.05","15.33K","1.87%"
"Mar 03, 2020","2,989.50","2,989.00","3,011.00","2,856.85","4.01K","2.04%"
"Mar 02, 2020","2,929.60","2,836.25","2,999.00","2,820.00","13.20K","3.29%"
"Feb 28, 2020","2,836.25","2,840.00","2,892.75","2,711.25","10.54K","-1.24%"
"Feb 27, 2020","2,871.75","2,860.10","2,889.95","2,778.35","5.46K","0.71%"
"Feb 26, 2020","2,851.40","2,800.00","2,869.90","2,771.55","6.20K","0.22%"
"Feb 25, 2020","2,845.25","2,925.00","2,925.00","2,749.75","6.06K","1.85%"
"Feb 24, 2020","2,793.45","2,985.40","2,985.40","2,704.05","15.38K","-5.75%"
"Feb 20, 2020","2,963.90","2,958.95","3,049.00","2,930.10","11.01K","0.40%"
"Feb 19, 2020","2,952.20","2,940.00","2,980.00","2,883.05","32.44K","1.46%"
"Feb 18, 2020","2,909.60","2,875.00","2,939.90","2,755.00","7.17K","1.24%"
"Feb 17, 2020","2,874.10","2,860.00","2,904.25","2,850.80","7.30K","0.56%"
"Feb 14, 2020","2,858.10","2,869.90","2,915.00","2,823.80","9.80K","-0.68%"
"Feb 13, 2020","2,877.80","2,820.00","2,945.00","2,817.15","24.87K","3.04%"
"Feb 12, 2020","2,792.85","2,660.00","2,887.00","2,570.70","18.37K","6.08%"
"Feb 11, 2020","2,632.75","2,590.00","2,680.00","2,567.40","18.70K","2.76%"
"Feb 10, 2020","2,561.95","2,488.35","2,579.00","2,488.20","22.65K","3.78%"
"Feb 07, 2020","2,468.60","2,544.40","2,620.00","2,451.65","23.97K","0.51%"
"Feb 06, 2020","2,456.15","2,450.00","2,495.00","2,403.00","11.13K","1.06%"
"Feb 05, 2020","2,430.40","2,448.85","2,495.00","2,400.05","6.25K","1.59%"
"Feb 04, 2020","2,392.30","2,380.00","2,444.00","2,325.00","9.53K","1.03%"
"Feb 03, 2020","2,368.00","2,283.05","2,398.00","2,283.05","3.47K","1.15%"
"Feb 01, 2020","2,341.00","2,449.00","2,449.00","2,274.20","15.88K","-2.87%"
"Jan 31, 2020","2,410.10","2,412.95","2,425.45","2,370.00","2.36K","-0.12%"
"Jan 30, 2020","2,412.90","2,385.10","2,433.00","2,357.90","16.48K","1.67%"
"Jan 29, 2020","2,373.20","2,341.20","2,394.00","2,325.00","4.30K","0.99%"
"Jan 28, 2020","2,350.00","2,480.00","2,480.00","2,291.40","7.08K","-3.60%"
"Jan 27, 2020","2,437.65","2,406.10","2,495.00","2,370.00","13.32K","0.89%"
