"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 03, 2020","422.30","428.50","442.00","416.20","7.00M","-1.77%"
"Apr 01, 2020","429.90","438.10","447.40","424.05","7.42M","-2.59%"
"Mar 31, 2020","441.35","429.00","448.20","414.40","5.41M","6.99%"
"Mar 30, 2020","412.50","432.00","443.90","407.00","7.11M","-6.46%"
"Mar 27, 2020","441.00","450.20","483.80","440.00","14.44M","-7.63%"
"Mar 26, 2020","477.45","448.00","487.00","434.00","6.46M","9.94%"
"Mar 25, 2020","434.30","390.00","440.00","385.60","6.18M","10.99%"
"Mar 24, 2020","391.30","362.00","409.00","345.85","5.27M","14.31%"
"Mar 23, 2020","342.30","377.50","394.40","340.00","4.44M","-18.13%"
"Mar 20, 2020","418.10","425.10","442.00","411.30","4.86M","0.28%"
"Mar 19, 2020","416.95","385.35","432.55","385.35","8.36M","-0.60%"
"Mar 18, 2020","419.45","465.00","470.00","410.85","4.75M","-9.79%"
"Mar 17, 2020","464.95","475.00","486.00","460.00","3.29M","-1.95%"
"Mar 16, 2020","474.20","494.00","500.40","471.00","4.06M","-6.50%"
"Mar 13, 2020","507.15","435.00","525.00","429.10","7.97M","7.24%"
"Mar 12, 2020","472.90","495.00","498.00","453.30","4.80M","-7.92%"
"Mar 11, 2020","513.55","515.00","526.00","508.05","2.97M","-0.79%"
"Mar 09, 2020","517.65","538.00","540.30","506.20","4.58M","-5.56%"
"Mar 06, 2020","548.15","541.00","556.50","535.00","3.49M","-2.97%"
"Mar 05, 2020","564.95","572.00","572.80","556.40","3.82M","-0.64%"
"Mar 04, 2020","568.60","567.40","570.00","560.15","1.74M","0.91%"
"Mar 03, 2020","563.50","560.00","573.00","559.65","2.84M","1.62%"
"Mar 02, 2020","554.50","555.00","564.25","550.95","2.30M","1.91%"
"Feb 28, 2020","544.10","554.00","565.00","541.25","4.38M","-3.99%"
"Feb 27, 2020","566.70","559.00","569.30","544.25","2.99M","1.73%"
"Feb 26, 2020","557.05","565.30","571.45","555.00","2.31M","-2.19%"
"Feb 25, 2020","569.50","570.00","582.50","566.00","3.58M","1.55%"
"Feb 24, 2020","560.80","572.25","578.40","556.00","1.58M","-2.21%"
"Feb 20, 2020","573.50","582.10","583.70","572.10","3.71M","-0.97%"
"Feb 19, 2020","579.10","565.90","581.85","563.00","1.75M","2.93%"
"Feb 18, 2020","562.60","564.80","565.35","556.00","1.23M","-0.58%"
"Feb 17, 2020","565.90","574.90","575.00","564.05","918.31K","-1.40%"
"Feb 14, 2020","573.95","578.90","581.50","572.00","2.33M","-0.56%"
"Feb 13, 2020","577.20","576.50","582.25","568.50","2.11M","-0.20%"
"Feb 12, 2020","578.35","585.60","594.70","563.60","3.30M","-0.88%"
"Feb 11, 2020","583.50","589.75","594.50","575.80","1.55M","-0.77%"
"Feb 10, 2020","588.05","596.00","598.90","584.50","1.37M","-1.28%"
"Feb 07, 2020","595.70","593.50","600.00","589.00","1.19M","0.35%"
"Feb 06, 2020","593.65","587.00","598.70","587.00","2.30M","1.75%"
"Feb 05, 2020","583.45","574.40","586.35","565.00","2.74M","1.81%"
"Feb 04, 2020","573.10","568.00","578.45","555.55","3.12M","1.38%"
"Feb 03, 2020","565.30","553.00","573.00","527.50","9.69M","0.52%"
"Feb 01, 2020","562.40","598.00","608.65","540.00","7.82M","-6.14%"
"Jan 31, 2020","599.20","603.10","604.45","597.30","1.26M","-0.21%"
"Jan 30, 2020","600.45","605.90","608.55","597.15","1.06M","-0.76%"
"Jan 29, 2020","605.05","605.95","611.00","602.25","1.32M","0.22%"
"Jan 28, 2020","603.75","601.00","611.90","599.00","1.65M","0.68%"
"Jan 27, 2020","599.70","604.80","605.70","598.10","1.53M","-1.24%"
"Jan 24, 2020","607.25","607.90","611.25","602.80","2.19M","-1.42%"
"Jan 23, 2020","616.00","614.30","621.90","611.50","1.69M","0.53%"
