"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Apr-2019","EQ","23,760.50","24,240.00","23,600.00","23,983.50","23,800.00","23,654.90","23,756.84","26,662.00","18,251.00",1008,"23,946,898.55",555
"03-Apr-2019","EQ","24,305.00","24,580.30","23,797.05","24,304.00","23,960.00","23,983.50","24,275.89","26,662.00","18,251.00",12795,"310,609,992.80",1042
"02-Apr-2019","EQ","24,688.00","24,688.00","24,157.90","24,294.75","24,202.00","24,304.00","24,256.95","26,662.00","18,251.00",6791,"164,728,934.20",655
"01-Apr-2019","EQ","24,270.00","24,800.00","24,099.75","24,260.85","24,195.00","24,294.75","24,518.88","26,662.00","18,251.00",4621,"113,301,760.10",1150
"29-Mar-2019","EQ","24,005.05","24,300.00","23,811.25","24,035.65","24,250.00","24,260.85","24,060.04","26,662.00","18,251.00",1128,"27,139,719.70",595
"28-Mar-2019","EQ","23,945.00","24,150.00","23,662.00","23,777.85","23,978.50","24,035.65","23,929.53","26,662.00","18,251.00",579,"13,855,199.45",352
"27-Mar-2019","EQ","23,949.60","24,187.85","23,661.00","23,949.50","23,756.00","23,777.85","23,853.68","26,662.00","18,251.00",7457,"177,876,878.45",873
"26-Mar-2019","EQ","24,300.00","24,450.00","23,800.00","24,151.45","23,900.00","23,949.50","24,123.56","26,662.00","18,251.00",1952,"47,089,191.40",820
"25-Mar-2019","EQ","23,487.00","24,300.00","23,017.00","23,585.00","24,001.00","24,151.45","23,637.56","26,662.00","18,251.00",2970,"70,203,538.80",1067
"22-Mar-2019","EQ","23,440.15","23,758.70","23,440.15","23,440.15","23,582.05","23,585.00","23,589.06","26,662.00","18,251.00",995,"23,471,114.75",531
"20-Mar-2019","EQ","23,400.10","23,676.30","23,355.20","23,517.25","23,355.20","23,440.15","23,487.89","26,662.00","18,251.00",1003,"23,558,354.95",475
