"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Jun-2019","EQ","1,239.00","1,269.00","1,227.50","1,235.75","1,268.85","1,266.25","1,250.43","1,269.00","732.30",1627758,"2,035,403,789.80",67632
"31-May-2019","EQ","1,248.00","1,250.65","1,227.00","1,240.60","1,233.65","1,235.75","1,238.54","1,262.80","732.30",1213810,"1,503,348,498.40",60111
"30-May-2019","EQ","1,234.00","1,249.80","1,225.00","1,234.65","1,248.00","1,240.60","1,236.08","1,262.80","732.30",1081863,"1,337,265,474.50",40215
"29-May-2019","EQ","1,232.00","1,237.70","1,224.20","1,231.55","1,233.75","1,234.65","1,230.77","1,262.80","732.30",918488,"1,130,447,976.35",39923
"28-May-2019","EQ","1,243.00","1,244.90","1,222.70","1,240.95","1,235.00","1,231.55","1,232.15","1,262.80","732.30",1811869,"2,232,497,385.05",88245
"27-May-2019","EQ","1,226.50","1,243.50","1,203.50","1,219.90","1,241.55","1,240.95","1,225.08","1,262.80","732.30",1380441,"1,691,154,944.40",47970
"24-May-2019","EQ","1,221.00","1,229.95","1,194.45","1,220.25","1,221.30","1,219.90","1,213.59","1,262.80","732.30",2423569,"2,941,212,414.40",78286
"23-May-2019","EQ","1,259.25","1,262.80","1,216.25","1,241.10","1,221.00","1,220.25","1,235.93","1,262.80","732.30",2494025,"3,082,450,677.95",145165
"22-May-2019","EQ","1,245.95","1,250.90","1,226.35","1,244.40","1,244.00","1,241.10","1,237.10","1,251.65","732.30",1972398,"2,440,048,075.10",79920
"21-May-2019","EQ","1,239.00","1,251.65","1,233.35","1,231.65","1,248.10","1,244.40","1,243.28","1,251.65","732.30",3218291,"4,001,252,086.00",105944
"20-May-2019","EQ","1,214.00","1,238.00","1,205.00","1,190.50","1,236.90","1,231.65","1,224.87","1,238.00","732.30",2881354,"3,529,275,161.55",79862
"17-May-2019","EQ","1,184.00","1,203.00","1,180.00","1,186.45","1,193.15","1,190.50","1,191.64","1,203.00","732.30",3265842,"3,891,697,719.75",92515
"16-May-2019","EQ","1,162.70","1,195.00","1,159.95","1,163.00","1,188.20","1,186.45","1,178.01","1,195.00","732.30",2948769,"3,473,681,100.10",85990
"15-May-2019","EQ","1,160.00","1,167.50","1,152.35","1,154.75","1,163.50","1,163.00","1,161.55","1,167.50","732.30",2476357,"2,876,407,136.40",96962
"14-May-2019","EQ","1,140.00","1,163.00","1,122.95","1,144.70","1,159.00","1,154.75","1,142.55","1,165.00","732.30",2894382,"3,306,976,021.15",92403
"13-May-2019","EQ","1,125.30","1,152.80","1,124.05","1,132.10","1,149.00","1,144.70","1,144.23","1,165.00","732.30",2695155,"3,083,874,815.25",97460
"10-May-2019","EQ","1,108.00","1,137.85","1,094.30","1,104.45","1,129.45","1,132.10","1,117.09","1,165.00","732.30",3032624,"3,387,711,972.85",101440
"09-May-2019","EQ","1,100.00","1,110.00","1,088.70","1,088.70","1,103.20","1,104.45","1,099.15","1,165.00","732.30",4362293,"4,794,806,501.00",131781
"08-May-2019","EQ","1,090.00","1,100.00","1,067.85","1,086.50","1,096.80","1,088.70","1,085.83","1,165.00","732.30",3336769,"3,623,149,019.65",92788
"07-May-2019","EQ","1,097.80","1,105.00","1,083.00","1,082.85","1,090.00","1,086.50","1,094.54","1,165.00","732.30",2605643,"2,851,972,302.55",83154
"06-May-2019","EQ","1,142.80","1,142.80","1,075.10","1,145.05","1,082.40","1,082.85","1,097.34","1,165.00","732.30",4064781,"4,460,429,644.35",99555
"03-May-2019","EQ","1,145.00","1,154.80","1,135.05","1,138.15","1,145.00","1,145.05","1,145.38","1,165.00","732.30",1146869,"1,313,597,347.60",55241
"02-May-2019","EQ","1,159.00","1,160.00","1,135.60","1,158.55","1,141.00","1,138.15","1,148.24","1,165.00","732.30",1517989,"1,743,022,074.95",42406
"30-Apr-2019","EQ","1,140.00","1,161.75","1,133.50","1,137.50","1,161.60","1,158.55","1,149.87","1,165.00","732.30",1469889,"1,690,174,307.95",41465
"26-Apr-2019","EQ","1,146.70","1,149.50","1,131.00","1,141.30","1,139.20","1,137.50","1,137.10","1,165.00","732.30",846570,"962,637,977.80",35603
"25-Apr-2019","EQ","1,155.00","1,165.00","1,135.40","1,149.15","1,145.65","1,141.30","1,154.25","1,165.00","732.30",3579153,"4,131,237,840.95",76638
"24-Apr-2019","EQ","1,128.00","1,152.00","1,125.55","1,129.55","1,149.00","1,149.15","1,142.22","1,152.00","732.30",1809133,"2,066,432,770.30",62637
"23-Apr-2019","EQ","1,124.00","1,136.70","1,120.05","1,123.70","1,128.35","1,129.55","1,129.50","1,152.00","732.30",1237289,"1,397,521,503.80",40465
"22-Apr-2019","EQ","1,125.00","1,132.00","1,119.10","1,125.40","1,122.00","1,123.70","1,125.16","1,152.00","732.30",1307412,"1,471,042,804.50",39760
"18-Apr-2019","EQ","1,125.95","1,129.50","1,113.50","1,120.05","1,123.90","1,125.40","1,122.97","1,152.00","732.30",1609911,"1,807,884,929.20",88597
"16-Apr-2019","EQ","1,093.10","1,124.75","1,092.40","1,090.15","1,124.00","1,120.05","1,112.77","1,152.00","732.30",2144260,"2,386,068,295.00",92416
"15-Apr-2019","EQ","1,102.00","1,102.00","1,088.00","1,097.00","1,089.00","1,090.15","1,094.01","1,152.00","732.30",1116346,"1,221,291,546.50",34071
"12-Apr-2019","EQ","1,107.00","1,107.95","1,094.00","1,105.05","1,095.80","1,097.00","1,100.27","1,152.00","732.30",1499571,"1,649,939,595.00",57794
"11-Apr-2019","EQ","1,106.95","1,106.95","1,090.10","1,100.20","1,105.10","1,105.05","1,099.42","1,152.00","732.30",1412462,"1,552,895,174.10",55137
"10-Apr-2019","EQ","1,099.40","1,105.00","1,083.50","1,098.55","1,100.80","1,100.20","1,093.02","1,152.00","732.30",1612236,"1,762,212,814.80",62466
"09-Apr-2019","EQ","1,109.00","1,109.95","1,091.50","1,104.40","1,099.85","1,098.55","1,098.00","1,152.00","732.30",1288739,"1,415,029,380.40",71608
"08-Apr-2019","EQ","1,109.00","1,115.00","1,092.00","1,106.40","1,104.45","1,104.40","1,103.66","1,152.00","732.30",1672293,"1,845,649,997.15",51333
"05-Apr-2019","EQ","1,123.00","1,129.70","1,101.45","1,106.10","1,109.00","1,106.40","1,113.51","1,152.00","732.30",4108366,"4,574,707,030.60",114292
"04-Apr-2019","EQ","1,112.70","1,122.60","1,094.30","1,100.50","1,106.00","1,106.10","1,109.41","1,152.00","732.30",2463998,"2,733,595,197.75",90989
"03-Apr-2019","EQ","1,117.00","1,127.20","1,098.05","1,111.90","1,104.00","1,100.50","1,109.85","1,152.00","732.30",1553200,"1,723,820,534.85",51269
"02-Apr-2019","EQ","1,125.00","1,131.15","1,108.40","1,120.35","1,114.00","1,111.90","1,116.02","1,152.00","732.30",1469173,"1,639,625,839.10",51821
"01-Apr-2019","EQ","1,140.00","1,148.00","1,116.80","1,141.85","1,121.00","1,120.35","1,130.06","1,152.00","732.30",1703651,"1,925,231,066.95",60356
"29-Mar-2019","EQ","1,134.05","1,152.00","1,112.00","1,134.25","1,145.10","1,141.85","1,130.58","1,152.00","732.30",2767754,"3,129,170,273.75",81020
"28-Mar-2019","EQ","1,120.00","1,139.55","1,111.45","1,116.50","1,135.00","1,134.25","1,129.02","1,139.55","732.30",2292966,"2,588,796,827.85",68882
"27-Mar-2019","EQ","1,125.00","1,125.00","1,106.00","1,115.75","1,121.60","1,116.50","1,113.89","1,125.00","732.30",1668427,"1,858,435,869.00",39112
"26-Mar-2019","EQ","1,105.00","1,120.00","1,088.35","1,100.10","1,118.50","1,115.75","1,105.47","1,124.40","732.30",1851505,"2,046,781,318.55",57041
"25-Mar-2019","EQ","1,102.00","1,106.50","1,090.40","1,102.55","1,100.15","1,100.10","1,097.58","1,124.40","732.30",909855,"998,634,686.60",33303
"22-Mar-2019","EQ","1,103.60","1,124.40","1,093.70","1,102.35","1,102.90","1,102.55","1,110.33","1,124.40","732.30",2486418,"2,760,745,697.05",68414
"20-Mar-2019","EQ","1,111.00","1,115.00","1,098.00","1,109.05","1,102.50","1,102.35","1,102.83","1,115.00","732.30",1295061,"1,428,227,773.25",46098
"19-Mar-2019","EQ","1,102.00","1,112.00","1,098.60","1,101.30","1,111.00","1,109.05","1,106.13","1,113.80","732.30",1376594,"1,522,687,057.05",64744
"18-Mar-2019","EQ","1,105.00","1,108.90","1,092.10","1,097.25","1,101.05","1,101.30","1,100.41","1,113.80","732.30",1856664,"2,043,084,290.95",90949
"15-Mar-2019","EQ","1,087.00","1,113.80","1,082.00","1,086.35","1,098.00","1,097.25","1,101.16","1,113.80","732.30",5318660,"5,856,713,831.30",104517
"14-Mar-2019","EQ","1,078.90","1,089.00","1,063.15","1,078.30","1,085.25","1,086.35","1,074.24","1,095.95","732.30",1193296,"1,281,888,864.20",41604
"13-Mar-2019","EQ","1,087.40","1,093.90","1,065.10","1,086.45","1,078.15","1,078.30","1,079.51","1,095.95","732.30",2024554,"2,185,516,263.90",74016
"12-Mar-2019","EQ","1,074.95","1,095.95","1,072.00","1,069.20","1,080.25","1,086.45","1,088.86","1,095.95","732.30",3418782,"3,722,588,395.85",119736
"11-Mar-2019","EQ","1,058.00","1,074.60","1,057.60","1,053.20","1,069.50","1,069.20","1,068.84","1,076.85","732.30",2837644,"3,032,974,037.10",71433
"08-Mar-2019","EQ","1,044.75","1,059.55","1,037.00","1,043.30","1,053.90","1,053.20","1,052.30","1,076.85","732.30",2179863,"2,293,873,362.40",51868
