"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Nov-2019","EQ","588.00","588.65","575.00","584.95","576.75","576.20","579.29","646.40","344.40",2761394,"1,599,654,300.30",109947
"27-Nov-2019","EQ","598.10","599.40","582.75","597.60","585.05","584.95","588.56","646.40","344.40",2154255,"1,267,914,771.95",47515
"26-Nov-2019","EQ","600.00","607.75","592.00","597.80","597.00","597.60","599.46","646.40","344.40",5918113,"3,547,683,426.40",76755
"25-Nov-2019","EQ","585.85","599.85","585.00","586.40","598.00","597.80","596.35","646.40","344.40",3802000,"2,267,330,000.80",85416
"22-Nov-2019","EQ","591.80","593.90","581.25","589.25","585.75","586.40","587.01","646.40","344.40",2275245,"1,335,587,624.35",68411
"21-Nov-2019","EQ","576.40","592.35","573.00","574.70","589.55","589.25","583.39","646.40","344.40",3752775,"2,189,315,518.15",60213
"20-Nov-2019","EQ","572.00","579.50","568.50","570.70","574.55","574.70","573.18","646.40","344.40",3822519,"2,190,995,565.40",58442
"19-Nov-2019","EQ","571.00","577.50","565.60","570.45","570.10","570.70","570.27","646.40","344.40",3791275,"2,162,068,232.15",74204
"18-Nov-2019","EQ","574.95","574.95","567.50","577.50","570.30","570.45","570.96","646.40","344.40",3112232,"1,776,961,396.80",75267
"15-Nov-2019","EQ","588.35","588.35","576.10","586.35","578.45","577.50","581.63","646.40","344.40",1959586,"1,139,754,815.10",67797
"14-Nov-2019","EQ","592.50","594.90","581.50","589.15","585.25","586.35","587.80","646.40","344.40",2663642,"1,565,678,041.20",50581
"13-Nov-2019","EQ","572.00","593.00","572.00","571.00","591.00","589.15","586.61","646.40","344.40",6532837,"3,832,201,939.25",135347
"11-Nov-2019","EQ","569.95","584.00","565.00","567.90","570.55","571.00","575.10","646.40","344.40",3419720,"1,966,689,524.40",87578
"08-Nov-2019","EQ","580.00","585.20","566.50","580.15","568.00","567.90","574.81","646.40","344.40",3630548,"2,086,871,301.30",128849
"07-Nov-2019","EQ","587.90","588.75","576.15","584.95","579.75","580.15","581.14","646.40","344.40",3217588,"1,869,869,469.00",78973
"06-Nov-2019","EQ","584.00","590.90","580.10","583.65","584.00","584.95","586.04","646.40","344.40",3840924,"2,250,916,438.70",104425
"05-Nov-2019","EQ","596.00","602.00","580.15","593.30","582.90","583.65","588.81","646.40","344.40",6170402,"3,633,222,764.20",197045
"04-Nov-2019","EQ","612.50","615.70","588.40","612.70","596.00","593.30","595.76","646.40","344.40",12053809,"7,181,139,110.85",250887
"01-Nov-2019","EQ","626.00","636.00","608.10","626.20","609.60","612.70","621.59","646.40","344.40",4002384,"2,487,848,777.25",80696
"31-Oct-2019","EQ","636.90","646.40","622.00","632.45","625.70","626.20","634.53","646.40","344.40",4487728,"2,847,596,584.90",87502
