"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Feb-2019","EQ","2,119.40","2,128.10","2,089.10","2,115.90","2,091.00","2,091.45","2,099.68","2,220.00","1,828.50",2222677,"4,666,916,025.00",91486
"21-Feb-2019","EQ","2,101.70","2,119.95","2,093.60","2,108.35","2,115.70","2,115.90","2,106.26","2,220.00","1,828.50",1315386,"2,770,549,994.85",66123
"20-Feb-2019","EQ","2,088.50","2,111.00","2,081.90","2,084.05","2,109.00","2,108.35","2,095.02","2,220.00","1,828.50",1223125,"2,562,466,713.25",74227
"19-Feb-2019","EQ","2,089.70","2,108.15","2,078.20","2,089.90","2,083.45","2,084.05","2,095.84","2,220.00","1,828.50",1317159,"2,760,560,754.00",76740
"18-Feb-2019","EQ","2,106.80","2,118.00","2,086.00","2,100.65","2,089.70","2,089.90","2,098.16","2,220.00","1,828.50",1784686,"3,744,564,837.75",74022
"15-Feb-2019","EQ","2,107.35","2,108.10","2,078.20","2,110.20","2,100.70","2,100.65","2,091.52","2,220.00","1,828.50",2104131,"4,400,828,253.75",89754
"14-Feb-2019","EQ","2,140.00","2,140.00","2,105.60","2,143.45","2,112.00","2,110.20","2,117.31","2,220.00","1,828.50",1860347,"3,938,937,722.70",142536
"13-Feb-2019","EQ","2,135.55","2,155.00","2,132.30","2,129.70","2,140.00","2,143.45","2,146.54","2,220.00","1,828.50",2360187,"5,066,246,582.80",110054
"12-Feb-2019","EQ","2,138.00","2,148.00","2,124.80","2,139.65","2,130.05","2,129.70","2,137.61","2,220.00","1,828.50",2443097,"5,222,380,330.05",140474
"11-Feb-2019","EQ","2,113.30","2,142.90","2,113.30","2,122.65","2,139.00","2,139.65","2,132.18","2,220.00","1,828.50",1759091,"3,750,705,910.60",75240
"08-Feb-2019","EQ","2,112.00","2,144.95","2,106.65","2,117.25","2,117.00","2,122.65","2,126.16","2,220.00","1,828.50",3058911,"6,503,720,043.85",98707
"07-Feb-2019","EQ","2,125.05","2,130.00","2,105.85","2,122.65","2,110.90","2,117.25","2,122.39","2,220.00","1,828.50",1804327,"3,829,487,756.50",80400
"06-Feb-2019","EQ","2,116.25","2,127.00","2,113.60","2,114.05","2,122.00","2,122.65","2,120.90","2,220.00","1,828.50",2718921,"5,766,554,240.80",106255
"05-Feb-2019","EQ","2,108.00","2,119.00","2,097.00","2,104.90","2,115.00","2,114.05","2,110.78","2,220.00","1,828.50",2172572,"4,585,820,145.80",73303
"04-Feb-2019","EQ","2,095.00","2,113.00","2,082.65","2,090.45","2,098.55","2,104.90","2,097.57","2,220.00","1,828.50",1984572,"4,162,769,920.20",145764
"01-Feb-2019","EQ","2,079.95","2,117.00","2,076.60","2,079.95","2,095.75","2,090.45","2,099.48","2,220.00","1,828.50",3913547,"8,216,405,021.45",116055
"31-Jan-2019","EQ","2,031.00","2,089.75","2,022.00","2,034.70","2,073.00","2,079.95","2,060.96","2,220.00","1,828.50",4144851,"8,542,369,085.80",155825
"30-Jan-2019","EQ","2,057.25","2,057.25","2,028.00","2,057.60","2,033.50","2,034.70","2,035.54","2,220.00","1,828.50",4628540,"9,421,572,630.55",197593
"29-Jan-2019","EQ","2,078.25","2,083.00","2,053.00","2,084.15","2,059.40","2,057.60","2,067.93","2,220.00","1,828.50",3690697,"7,632,110,523.30",124666
"28-Jan-2019","EQ","2,090.00","2,102.05","2,076.75","2,096.00","2,087.00","2,084.15","2,090.88","2,220.00","1,828.50",3840109,"8,029,190,019.85",170502
"25-Jan-2019","EQ","2,093.00","2,110.00","2,090.00","2,102.25","2,092.05","2,096.00","2,102.20","2,220.00","1,828.50",2815559,"5,918,870,073.55",109171
"24-Jan-2019","EQ","2,110.00","2,121.65","2,097.90","2,105.40","2,098.60","2,102.25","2,109.73","2,220.00","1,828.50",2527893,"5,333,167,868.85",141995
"23-Jan-2019","EQ","2,134.00","2,135.85","2,101.45","2,135.85","2,106.95","2,105.40","2,123.27","2,220.00","1,828.50",1906072,"4,047,104,726.75",85545
"22-Jan-2019","EQ","2,146.00","2,146.80","2,129.05","2,148.15","2,132.25","2,135.85","2,136.85","2,220.00","1,828.50",2199244,"4,699,456,324.45",119550
"21-Jan-2019","EQ","2,139.95","2,166.50","2,126.50","2,130.25","2,145.40","2,148.15","2,151.51","2,220.00","1,828.50",4390378,"9,445,947,630.45",144556
"18-Jan-2019","EQ","2,135.00","2,139.00","2,114.55","2,132.30","2,130.00","2,130.25","2,128.13","2,220.00","1,828.50",1301994,"2,770,812,571.25",67451
"17-Jan-2019","EQ","2,125.25","2,135.90","2,113.35","2,120.20","2,130.40","2,132.30","2,124.86","2,220.00","1,828.50",2060057,"4,377,341,580.55",77528
"16-Jan-2019","EQ","2,120.05","2,125.00","2,108.25","2,121.90","2,117.00","2,120.20","2,118.69","2,220.00","1,828.50",1313113,"2,782,077,967.00",72148
